S,E,I,R,D,Isum,Rsum
246596,213,21854,5.48756e+07,3.3557e+06,5.82529e+07,5.48756e+07
246567,200,20605,5.48768e+07,3.35578e+06,5.82529e+07,5.48768e+07
246540,189,19428,5.4878e+07,3.35585e+06,5.82529e+07,5.4878e+07
246515,178,18318,5.48791e+07,3.35592e+06,5.82529e+07,5.48791e+07
246491,168,17272,5.48801e+07,3.35598e+06,5.8253e+07,5.48801e+07
246468,158,16285,5.48811e+07,3.35604e+06,5.8253e+07,5.48811e+07
246447,149,15355,5.4882e+07,3.35609e+06,5.8253e+07,5.4882e+07
246426,141,14477,5.48828e+07,3.35614e+06,5.8253e+07,5.48828e+07
246407,133,13650,5.48836e+07,3.35619e+06,5.82531e+07,5.48836e+07
246390,125,12870,5.48844e+07,3.35624e+06,5.82531e+07,5.48844e+07
246373,118,12135,5.48851e+07,3.35628e+06,5.82531e+07,5.48851e+07
246357,111,11442,5.48858e+07,3.35632e+06,5.82531e+07,5.48858e+07
246342,105,10788,5.48864e+07,3.35636e+06,5.82531e+07,5.48864e+07
246328,99,10172,5.4887e+07,3.3564e+06,5.82531e+07,5.4887e+07
246314,93,9591,5.48876e+07,3.35643e+06,5.82531e+07,5.48876e+07
246302,88,9043,5.48881e+07,3.35647e+06,5.82532e+07,5.48881e+07
